scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.083,10.189,6.513,2.443,3.524,1.175,-1.371,6.494,2.324,2.949,6.642,1.223,2.526,-3.569,1.22,-0.663,-4.616,5.974,-3.256,-2.646,-3.895,1.528,16.635,4.079,1.298
Axis Bluechip Fund - Direct Plan - Growth,7.34,2.085,3.848,3.409,2.41,-0.043,5.64,1.044,-0.715,3.742,-1.381,3.502,2.256,-3.125,-0.607,5.036,1.502,1.691,5.925,0.523,-6.87,-4.836,6.714,1.008,-0.241,-0.414,5.75,1.539,3.782,-0.601,-4.985,1.846,8.352,1.763,0.646,1.519,0.748,-1.12,-20.368,12.532,2.728,4.447,4.989,4.321,0.206,2.697,11.639,7.596,-0.877,1.888,1.149,-0.951,5.462,2.236,1.559,8.263,0.939,2.559,-3.667,1.001,-2.812,-3.799,4.736,-4.76,-4.322,-4.409,1.419,22.393,4.732,1.039
JM Large Cap Fund (Direct) - Growth Option,5.303,2.247,2.154,0.633,2.705,-0.515,4.084,-0.989,-1.631,4.185,-2.991,2.362,4.45,-3.885,-2.077,2.309,0.258,0.28,2.779,1.304,-1.929,-2.182,1.932,0.255,-0.273,-0.221,2.861,0.614,1.19,-1.266,-2.632,0.48,2.216,2.011,0.658,0.574,-0.535,-1.432,-10.467,7.913,3.765,4.025,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.972,10.554,3.249,1.036
Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,8.214,5.071,4.47,4.281,1.918,-0.135,3.486,-0.254,-0.525,6.33,0.184,4.84,-1.118,-4.917,-4.238,5.161,-2.949,-2.364,5.672,5.066,-8.513,0.218,3.119,1.297,-1.371,0.208,7.895,-0.394,3.005,-1.303,-6.464,1.435,4.087,6.722,2.09,1.589,0.81,-2.099,-25.923,18.763,4.441,7.791,5.549,7.283,0.27,1.769,11.75,6.091,4.098,6.115,1.314,0.429,6.077,3.742,3.758,4.57,1.877,3.105,-3.652,1.799,-0.93,-6.16,4.615,-1.993,-3.29,-3.808,1.666,31.919,5.65,1.021
Mirae Asset Large Cap Fund - Direct Plan - Growth,7.578,2.826,3.22,2.091,3.297,-0.011,5.15,0.186,-1.481,6.21,-2.037,3.858,3.242,-5.68,-4.044,4.609,-1.03,-0.409,6.084,4.102,-5.712,-2.872,3.914,0.308,-0.252,-0.17,7.154,0.356,2.2,-0.948,-6.502,0.607,4.298,6.045,1.431,0.962,-1.157,-3.108,-25.509,18.114,5.373,6.2,6.544,6.208,-0.264,1.001,10.59,6.48,2.707,3.808,0.326,-1.269,6.155,3.143,1.627,6.178,2.219,2.542,-4.158,1.768,-1.006,-5.421,5.675,-2.493,-2.403,-3.816,1.434,29.507,5.432,0.914
Edelweiss Large Cap Fund - Direct Plan-Growth option,6.84,3.274,3.669,2.565,1.802,0.033,5.456,-1.509,-1.22,5.412,-1.791,3.526,4.639,-4.798,-2.387,6.075,-0.282,0.028,6.731,3.007,-7.512,-5.443,4.474,0.571,-0.085,-0.91,6.456,0.755,2.548,-1.214,-6.564,1.567,4.933,4.354,0.896,1.325,0.905,-2.973,-24.895,16.941,4.511,6.308,6.899,4.566,-0.077,2.494,10.495,7.304,1.18,3.291,0.665,-1.162,5.622,2.183,2.323,6.453,1.247,2.412,-3.936,1.543,-0.233,-5.292,5.956,-2.928,-2.94,-4.319,1.39,28.598,5.348,0.9
IDFC Large Cap Fund-Direct Plan-Growth ,6.572,3.294,2.291,1.836,2.379,1.906,4.459,0.288,-1.884,5.684,-1.332,2.935,2.312,-5.571,-3.3,5.032,-0.725,0.805,6.357,2.125,-6.551,-5.303,4.081,-0.091,1.373,-1.475,6.508,4.48,2.452,-1.117,-7.23,0.7,6.356,4.091,0.697,1.052,0.904,-2.424,-24.013,16.455,4.968,4.829,8.481,3.665,1.315,1.271,8.928,6.724,2.644,1.478,0.684,-1.513,6.524,1.191,2.603,6.804,1.196,4.227,-2.533,0.999,-0.602,-4.919,4.718,-4.088,-3.792,-3.268,1.348,26.922,5.189,0.9
ICICI Prudential Bluechip Fund - Direct Plan - Growth,6.048,3.251,1.918,1.733,2.59,-0.269,5.749,-0.126,-1.114,6.806,-2.387,3.765,2.686,-4.658,-2.575,4.394,-0.331,-1.164,5.411,4.56,-5.167,-3.632,1.957,1.155,-2.074,0.428,6.231,0.513,2.005,-0.519,-7.329,0.422,6.083,3.755,1.214,1.392,-1.268,-4.227,-25.035,18.573,6.813,4.764,5.281,5.736,-1.845,1.336,12.237,6.814,3.384,3.935,0.052,-0.963,5.721,1.541,2.245,5.996,2.695,3.619,-3.855,1.52,1.125,-4.577,5.268,-2.775,-2.013,-3.813,1.379,28.978,5.383,0.887
Kotak Bluechip Fund - Growth - Direct,6.719,2.848,2.567,2.201,2.367,-0.497,3.88,-1.023,-1.738,5.261,-1.776,3.76,3.584,-5.198,-2.415,4.295,-0.671,-1.022,7.225,2.428,-7.132,-5.089,4.636,1.177,-1.039,0.427,6.908,0.532,2.276,-1.651,-6.972,1.52,6.486,4.922,1.815,1.345,-0.117,-3.842,-24.941,17.295,5.285,6.543,6.577,4.447,1.093,1.677,11.384,6.54,2.363,4.124,1.3,-1.456,6.28,2.895,1.587,6.116,2.173,2.31,-3.726,1.251,-0.544,-5.72,6.104,-2.921,-2.173,-4.117,1.375,29.215,5.405,0.881
ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,1.005,5.166,-4.732,0.95,1.126,2.135,-0.633,-1.275,4.013,-0.92,3.581,0.939,4.446,-2.57,-2.927,5.723,3.633,3.546,2.799,5.222,2.77,-1.9,-2.747,-10.236,11.045,4.022,-1.899,4.363,-6.913,6.511,1.91,1.602,1.446,6.233,4.526,2.257,-1.575,-6.259,-12.545,16.108,6.738,1.062,0.539,2.913,-2.559,-2.737,13.104,1.523,0.574,5.653,5.445,3.85,-1.596,5.384,0.923,-0.815,-0.904,3.959,-4.266,4.769,-1.695,-1.523,1.522,-8.435,0.26,-4.468,1.199,23.665,4.865,0.854
Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,7.012,4.25,3.193,1.788,2.283,1.11,4.555,-1.362,-1.485,7.184,-0.716,3.602,3.205,-5.046,-4.287,4.784,-2.543,-0.871,6.678,5.435,-6.39,-1.249,1.947,1.932,-1.525,-0.152,8.713,-0.474,3.448,-1.639,-9.128,-3.036,6.866,5.893,0.844,1.171,-0.882,-3.85,-28.06,17.077,4.069,5.415,4.066,8.609,-5.046,1.053,13.815,8.285,3.503,6.745,-0.895,-1.96,7.721,1.413,2.348,6.513,3.708,3.051,-4.349,0.722,1.791,-5.865,8.189,-3.016,-2.009,-3.467,1.435,36.622,6.052,0.821
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,7.012,4.25,3.193,1.788,2.283,1.11,4.555,-1.362,-1.485,7.184,-0.716,3.602,3.205,-5.046,-4.287,4.784,-2.543,-0.871,6.678,5.435,-6.39,-1.249,1.947,1.932,-1.525,-0.152,8.713,-0.474,3.448,-1.639,-9.128,-3.036,6.866,5.893,0.844,1.171,-0.882,-3.85,-28.06,17.077,4.069,5.415,4.066,8.609,-5.046,1.053,13.815,8.285,3.503,6.745,-0.894,-1.96,7.721,1.413,2.348,6.513,3.708,3.051,-4.349,0.722,1.791,-5.865,8.189,-3.016,-2.009,-3.467,1.435,36.622,6.052,0.821
LIC MF Large Cap Fund-Direct Plan-Growth,7.446,1.167,2.145,2.079,3.693,-1.15,5.505,-0.683,-1.58,4.147,-2.656,2.863,2.007,-3.8,-2.476,4.882,-0.638,0.115,5.148,1.948,-7.393,-4.15,6.811,1.304,-1.78,-1.126,6.406,0.601,3.626,-0.23,-6.418,1.791,7.757,3.189,0.783,2.13,0.696,-1.985,-23.678,12.626,3.269,5.172,4.412,4.602,-0.84,2.247,12.527,7.124,0.467,1.388,1.043,-0.924,5.66,2.357,1.741,8.065,1.78,3.214,-3.599,1.312,-1.339,-3.574,4.221,-3.997,-3.587,-4.698,1.199,25.642,5.064,0.82
Tata Large Cap Fund -Direct Plan Growth Option,6.977,1.674,2.701,2.855,1.589,-0.009,5.166,-0.994,-1.686,5.576,-1.159,2.864,3.213,-5.495,-3.297,4.789,-1.728,-0.354,6.138,3.417,-7.744,-3.133,4.269,0.727,-0.584,-0.616,7.733,0.501,4.212,0.322,-7.502,-0.811,5.725,4.828,0.84,0.439,-1.097,-3.02,-26.51,16.255,4.42,5.962,5.827,4.804,-1.717,1.889,11.472,6.712,4.11,5.596,0.485,-0.615,6.315,1.998,2.243,5.964,2.355,3.194,-4.299,1.388,0.763,-5.869,5.828,-2.928,-3.248,-4.42,1.292,30.584,5.53,0.809
HSBC Large Cap Equity Fund - Growth Direct,7.543,2.384,3.583,1.722,1.582,0.108,5.879,-0.899,-1.962,3.851,-2.693,3.587,5.35,-5.665,-3.052,6.017,-1.018,-0.642,5.318,3.023,-7.142,-5.156,3.752,-0.143,-0.349,-0.388,8.279,0.558,2.234,-0.901,-5.393,1.132,4.488,4.431,2.205,0.705,-0.216,-3.524,-24.346,17.279,5.563,5.845,5.293,4.178,0.17,2.511,10.965,7.527,2.678,2.178,0.37,-2.849,6.864,1.582,0.896,6.685,1.073,3.15,-4.284,2.756,-0.799,-5.969,5.474,-3.93,-2.972,-3.819,1.252,29.134,5.398,0.803
Mahindra Manulife Large Cap Pragati Yojana - Direct Plan -Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,1.232,0.9,1.324,-1.623,-5.634,1.243,7.943,4.994,-0.024,-0.049,-0.446,-4.914,-22.893,17.099,4.13,4.874,5.053,3.467,-1.0,2.475,11.895,7.007,4.407,4.201,0.742,-0.149,6.533,1.37,1.448,4.981,2.871,4.526,-4.889,1.008,0.263,-5.454,6.048,-2.413,-2.928,-4.256,1.384,36.666,6.055,0.792
Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,6.9,2.738,3.19,1.8,1.415,0.633,4.802,0.009,-1.831,4.747,-2.898,4.03,2.485,-5.093,-2.541,4.763,-1.381,-0.836,5.528,3.065,-6.693,-3.244,3.81,0.814,-2.029,0.116,7.224,-0.427,2.09,-1.487,-6.693,-0.115,4.396,4.841,1.552,0.665,-0.798,-3.455,-26.091,17.892,5.095,5.834,5.889,5.544,-1.015,1.581,12.423,6.802,2.612,3.665,0.569,-1.45,6.232,2.016,2.964,6.144,2.163,2.878,-4.285,1.278,0.129,-4.857,5.43,-3.267,-2.512,-3.993,1.239,29.925,5.47,0.785
PGIM India Large Cap Fund - Direct Plan - Growth,7.01,2.687,3.424,1.865,2.847,-0.752,4.957,-1.376,-1.749,5.36,-3.009,3.084,4.333,-4.821,-3.402,4.92,-2.117,0.348,6.26,1.552,-4.11,-6.228,3.995,0.065,1.818,-1.85,7.716,0.495,3.046,-0.66,-6.167,0.391,4.849,4.756,1.05,1.092,-0.778,-3.409,-24.757,17.167,4.069,4.913,6.403,4.587,0.981,1.75,11.789,6.795,1.76,3.076,0.49,0.025,6.444,2.607,0.309,5.82,1.722,-0.152,-4.137,1.768,-1.383,-6.511,5.401,-2.063,-2.581,-4.155,1.206,28.48,5.337,0.783
L&T India Large Cap Fund - Direct Plan - Growth,9.196,0.584,3.212,2.956,1.42,-0.726,5.115,-0.635,-2.642,4.833,-2.275,3.199,3.992,-4.442,-2.623,4.896,-2.045,-0.625,6.151,1.614,-6.472,-3.751,4.56,-0.175,-0.931,-0.279,7.631,0.924,3.523,-1.332,-6.996,0.826,5.957,4.572,0.532,0.781,-0.085,-3.254,-25.272,17.813,4.468,4.325,6.801,4.311,0.111,1.559,10.702,6.67,1.488,4.069,0.596,-1.395,6.161,1.648,2.342,5.911,1.725,2.655,-4.597,1.888,-1.035,-4.895,5.965,-3.584,-3.567,-4.319,1.208,29.619,5.442,0.769
Navi Large Cap Equity Fund-Direct Plan-Growth Option,8.842,3.189,3.762,3.756,1.676,-0.35,4.014,-0.56,-1.965,4.56,-1.645,2.705,1.743,-5.385,-2.633,5.089,-1.412,-1.391,6.586,2.337,-6.853,-4.35,3.828,0.15,-0.125,0.21,6.307,0.582,3.273,-1.17,-6.75,-0.202,6.412,3.259,1.816,1.148,0.139,-3.84,-27.66,20.131,5.422,5.794,6.579,2.829,-0.103,1.916,11.846,6.744,2.119,4.168,0.187,-0.233,5.198,3.012,1.753,5.863,1.681,3.466,-4.189,2.418,-1.761,-5.739,5.016,-2.928,-3.218,-4.149,1.256,32.905,5.736,0.759
Franklin India Bluechip Fund- Direct - Growth,6.386,2.934,1.846,1.92,2.165,-1.064,5.569,-1.656,-1.608,6.144,-2.781,3.221,3.689,-5.598,-3.574,4.436,-0.503,-0.314,4.249,4.699,-6.212,-4.74,2.839,1.02,-0.921,0.464,6.507,-0.668,1.231,-1.875,-8.338,-0.943,5.205,5.15,2.998,-0.564,-0.358,-4.14,-24.599,17.613,6.382,6.444,1.557,6.432,-3.948,3.942,13.454,5.97,6.553,6.615,-0.676,-0.72,7.71,0.816,1.771,3.899,2.46,3.763,-4.699,1.275,-0.913,-6.061,4.453,-2.552,-1.311,-3.951,1.189,31.217,5.587,0.737
ITI Large Cap Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,3.205,4.629,-0.101,-3.381,7.339,0.393,0.391,5.26,5.394,1.781,-4.434,0.654,-0.473,-4.932,1.967,-2.782,-2.869,-4.905,0.395,13.497,3.674,0.372
BANK OF INDIA Bluechip Fund Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.503,6.9,1.455,2.24,-3.418,1.089,-3.366,-4.583,4.753,-4.259,-4.369,-3.959,-0.418,16.328,4.041,-0.358
